Source,Destination,Time
192.168.0.73,192.168.0.109,27-10-2019 10:52
192.168.0.74,192.168.0.125,27-10-2019 10:56
192.168.0.75,192.168.0.94,27-10-2019 11:00
192.168.0.76,192.168.0.97,27-10-2019 11:04
192.168.0.76,192.168.0.126,27-10-2019 11:08
192.168.0.77,192.168.0.127,27-10-2019 11:12
192.168.0.77,192.168.0.128,27-10-2019 11:16
192.168.0.78,192.168.0.129,27-10-2019 11:20
192.168.0.78,192.168.0.130,27-10-2019 11:24
192.168.0.78,192.168.0.131,27-10-2019 11:28
192.168.0.78,192.168.0.132,27-10-2019 11:32
192.168.0.78,192.168.0.133,27-10-2019 11:36
192.168.0.78,192.168.0.134,27-10-2019 11:40
192.168.0.79,192.168.0.77,27-10-2019 11:44
192.168.0.80,192.168.0.38,27-10-2019 11:48
192.168.0.81,192.168.0.135,27-10-2019 11:52
192.168.0.81,192.168.0.38,27-10-2019 11:56
192.168.0.81,192.168.0.56,27-10-2019 12:00
192.168.0.82,192.168.0.136,27-10-2019 12:04
192.168.0.83,192.168.0.137,27-10-2019 12:08
192.168.0.84,192.168.0.138,27-10-2019 12:12
192.168.0.85,192.168.0.139,27-10-2019 12:16
192.168.0.86,192.168.0.140,27-10-2019 12:20
192.168.0.86,192.168.0.141,27-10-2019 12:24
192.168.0.86,192.168.0.142,27-10-2019 12:28
192.168.0.86,192.168.0.143,27-10-2019 12:32
192.168.0.87,192.168.0.125,27-10-2019 12:36
192.168.0.87,192.168.0.144,27-10-2019 12:40
192.168.0.87,192.168.0.145,27-10-2019 12:44
192.168.0.87,192.168.0.146,27-10-2019 12:48
192.168.0.87,192.168.0.147,27-10-2019 12:52
192.168.0.87,192.168.0.148,27-10-2019 12:56
192.168.0.87,192.168.0.74,27-10-2019 13:00
192.168.0.87,192.168.0.71,27-10-2019 13:04
192.168.0.88,192.168.0.149,27-10-2019 13:08
192.168.0.88,192.168.0.145,27-10-2019 13:12
192.168.0.88,192.168.0.147,27-10-2019 13:16
192.168.0.89,192.168.0.19,27-10-2019 13:20
192.168.0.90,192.168.0.45,27-10-2019 13:24
192.168.0.91,192.168.0.150,27-10-2019 13:28
192.168.0.92,192.168.0.2,27-10-2019 13:32
192.168.0.93,192.168.0.151,27-10-2019 13:36
192.168.0.94,192.168.0.94,27-10-2019 13:40
192.168.0.95,192.168.0.91,27-10-2019 13:44
192.168.0.96,192.168.0.27,27-10-2019 13:48
192.168.0.96,192.168.0.42,27-10-2019 13:52
192.168.0.97,192.168.0.152,27-10-2019 13:56
192.168.0.98,192.168.0.153,27-10-2019 14:00
192.168.0.99,192.168.0.154,27-10-2019 14:04
192.168.0.100,192.168.0.154,27-10-2019 14:08
192.168.0.100,192.168.0.69,27-10-2019 14:12
192.168.0.101,192.168.0.155,27-10-2019 14:16
192.168.0.102,192.168.0.156,27-10-2019 14:20
192.168.0.103,192.168.0.157,27-10-2019 14:24
192.168.0.103,192.168.0.158,27-10-2019 14:28
192.168.0.104,192.168.0.159,27-10-2019 14:32
192.168.0.105,192.168.0.160,27-10-2019 14:36
192.168.0.105,192.168.0.57,27-10-2019 14:40
192.168.0.105,192.168.0.156,27-10-2019 14:44
192.168.0.106,192.168.0.161,27-10-2019 14:48
192.168.0.107,192.168.0.162,27-10-2019 14:52
192.168.0.107,192.168.0.163,27-10-2019 14:56
192.168.0.107,192.168.0.164,27-10-2019 15:00
192.168.0.107,192.168.0.165,27-10-2019 15:04
192.168.0.107,192.168.0.166,27-10-2019 15:08
192.168.0.107,192.168.0.167,27-10-2019 15:12
192.168.0.108,192.168.0.164,27-10-2019 15:16
192.168.0.109,192.168.0.168,27-10-2019 15:20
192.168.0.110,192.168.0.168,27-10-2019 15:24
192.168.0.111,192.168.0.169,27-10-2019 15:28
192.168.0.111,192.168.0.170,27-10-2019 15:32
192.168.0.111,192.168.0.89,27-10-2019 15:36
192.168.0.111,192.168.0.171,27-10-2019 15:40
192.168.0.112,192.168.0.79,27-10-2019 15:44
192.168.0.113,192.168.0.27,27-10-2019 15:48
192.168.0.113,192.168.0.94,27-10-2019 15:52
192.168.0.114,192.168.0.172,27-10-2019 15:56
192.168.0.114,192.168.0.173,27-10-2019 16:00
192.168.0.114,192.168.0.174,27-10-2019 16:04
192.168.0.114,192.168.0.175,27-10-2019 16:08
192.168.0.114,192.168.0.176,27-10-2019 16:12
192.168.0.114,192.168.0.177,27-10-2019 16:16
192.168.0.114,192.168.0.178,27-10-2019 16:20
192.168.0.114,192.168.0.179,27-10-2019 16:24
192.168.0.114,192.168.0.180,27-10-2019 16:28
192.168.0.115,192.168.0.87,27-10-2019 16:32
192.168.0.116,192.168.0.181,27-10-2019 16:36
192.168.0.116,192.168.0.182,27-10-2019 16:40
192.168.0.117,192.168.0.183,27-10-2019 16:44
192.168.0.118,192.168.0.183,27-10-2019 16:48
192.168.0.118,192.168.0.184,27-10-2019 16:52
192.168.0.119,192.168.0.185,27-10-2019 16:56
192.168.0.120,192.168.0.64,27-10-2019 17:00
192.168.0.121,192.168.0.186,27-10-2019 17:04
192.168.0.122,192.168.0.187,27-10-2019 17:08
192.168.0.123,192.168.0.188,27-10-2019 17:12
192.168.0.124,192.168.0.189,27-10-2019 17:16
192.168.0.125,192.168.0.190,27-10-2019 17:20
192.168.0.126,192.168.0.191,27-10-2019 17:24
192.168.0.127,192.168.0.192,27-10-2019 17:28
192.168.0.127,192.168.0.193,27-10-2019 17:32
192.168.0.127,192.168.0.194,27-10-2019 17:36
192.168.0.127,192.168.0.195,27-10-2019 17:40
192.168.0.127,192.168.0.109,27-10-2019 17:44
192.168.0.127,192.168.0.196,27-10-2019 17:48
192.168.0.128,192.168.0.192,27-10-2019 17:52
192.168.0.128,192.168.0.197,27-10-2019 17:56
192.168.0.128,192.168.0.198,27-10-2019 18:00
192.168.0.128,192.168.0.199,27-10-2019 18:04
192.168.0.128,192.168.0.185,27-10-2019 18:08
192.168.0.129,192.168.0.35,27-10-2019 18:12
192.168.0.130,192.168.0.200,27-10-2019 18:16
192.168.0.130,192.168.0.188,27-10-2019 18:20
192.168.0.130,192.168.0.201,27-10-2019 18:24
192.168.0.130,192.168.0.202,27-10-2019 18:28
192.168.0.131,192.168.0.181,27-10-2019 18:32
192.168.0.132,192.168.0.203,27-10-2019 18:36
192.168.0.133,192.168.0.203,27-10-2019 18:40
192.168.0.134,192.168.0.204,27-10-2019 18:44
192.168.0.135,192.168.0.205,27-10-2019 18:48
192.168.0.136,192.168.0.206,27-10-2019 18:52
192.168.0.137,192.168.0.207,27-10-2019 18:56
192.168.0.138,192.168.0.37,27-10-2019 19:00
192.168.0.139,192.168.0.157,27-10-2019 19:04
192.168.0.140,192.168.0.208,27-10-2019 19:08
192.168.0.141,192.168.0.209,27-10-2019 19:12
192.168.0.142,192.168.0.129,27-10-2019 19:16
192.168.0.143,192.168.0.210,27-10-2019 19:20
192.168.0.144,192.168.0.61,27-10-2019 19:24
192.168.0.144,192.168.0.151,27-10-2019 19:28
192.168.0.145,192.168.0.211,27-10-2019 19:32
192.168.0.145,192.168.0.212,27-10-2019 19:36
192.168.0.145,192.168.0.213,27-10-2019 19:40
192.168.0.145,192.168.0.61,27-10-2019 19:44
192.168.0.145,192.168.0.151,27-10-2019 19:48
192.168.0.145,192.168.0.214,27-10-2019 19:52
192.168.0.145,192.168.0.215,27-10-2019 19:56
192.168.0.145,192.168.0.216,27-10-2019 20:00
192.168.0.146,192.168.0.217,27-10-2019 20:04
192.168.0.147,192.168.0.218,27-10-2019 20:08
192.168.0.148,192.168.0.152,27-10-2019 20:12
192.168.0.149,192.168.0.186,27-10-2019 20:16
192.168.0.150,192.168.0.171,27-10-2019 20:20
192.168.0.151,192.168.0.219,27-10-2019 20:24
192.168.0.151,192.168.0.188,27-10-2019 20:28
192.168.0.151,192.168.0.138,27-10-2019 20:32
192.168.0.152,192.168.0.220,27-10-2019 20:36
192.168.0.153,192.168.0.38,27-10-2019 20:40
192.168.0.154,192.168.0.221,27-10-2019 20:44
192.168.0.154,192.168.0.222,27-10-2019 20:48
192.168.0.154,192.168.0.223,27-10-2019 20:52
192.168.0.154,192.168.0.198,27-10-2019 20:56
192.168.0.154,192.168.0.199,27-10-2019 21:00
192.168.0.155,192.168.0.55,27-10-2019 21:04
192.168.0.156,192.168.0.151,27-10-2019 21:08
192.168.0.157,192.168.0.224,27-10-2019 21:12
192.168.0.158,192.168.0.100,27-10-2019 21:16
192.168.0.158,192.168.0.206,27-10-2019 21:20
192.168.0.158,192.168.0.225,27-10-2019 21:24
192.168.0.158,192.168.0.226,27-10-2019 21:28
192.168.0.158,192.168.0.227,27-10-2019 21:32
192.168.0.158,192.168.0.228,27-10-2019 21:36
192.168.0.158,192.168.0.229,27-10-2019 21:40
192.168.0.159,192.168.0.206,27-10-2019 21:44
192.168.0.160,192.168.0.146,27-10-2019 21:48
192.168.0.161,192.168.0.230,27-10-2019 21:52
192.168.0.161,192.168.0.38,27-10-2019 21:56
192.168.0.162,192.168.0.85,27-10-2019 22:00
192.168.0.163,192.168.0.231,27-10-2019 22:04
192.168.0.164,192.168.0.110,27-10-2019 22:08
192.168.0.165,192.168.0.115,27-10-2019 22:12
192.168.0.166,192.168.0.232,27-10-2019 22:16
192.168.0.166,192.168.0.38,27-10-2019 22:20
192.168.0.167,192.168.0.233,27-10-2019 22:24
192.168.0.168,192.168.0.234,27-10-2019 22:28
192.168.0.169,192.168.0.160,27-10-2019 22:32
192.168.0.170,192.168.0.101,27-10-2019 22:36
192.168.0.170,192.168.0.235,27-10-2019 22:40
192.168.0.171,192.168.0.236,27-10-2019 22:44
192.168.0.172,192.168.0.237,27-10-2019 22:48
192.168.0.173,192.168.0.221,27-10-2019 22:52
192.168.0.173,192.168.0.222,27-10-2019 22:56
192.168.0.173,192.168.0.238,27-10-2019 23:00
192.168.0.173,192.168.0.239,27-10-2019 23:04
192.168.0.174,192.168.0.227,27-10-2019 23:08
192.168.0.175,192.168.0.150,27-10-2019 23:12
192.168.0.176,192.168.0.55,27-10-2019 23:16
192.168.0.177,192.168.0.42,27-10-2019 23:20
192.168.0.178,192.168.0.240,27-10-2019 23:24
192.168.0.179,192.168.0.164,27-10-2019 23:28
192.168.0.180,192.168.0.241,27-10-2019 23:32
192.168.0.181,192.168.0.214,27-10-2019 23:36
192.168.0.182,192.168.0.242,27-10-2019 23:40
192.168.0.183,192.168.0.231,27-10-2019 23:44
192.168.0.183,192.168.0.71,27-10-2019 23:48
192.168.0.184,192.168.0.42,27-10-2019 23:52
192.168.0.185,192.168.0.21,27-10-2019 23:56
192.168.0.186,192.168.0.215,28-10-2019 00:00
192.168.0.187,192.168.0.243,28-10-2019 00:04
192.168.0.188,192.168.0.244,28-10-2019 00:08
192.168.0.189,192.168.0.245,28-10-2019 00:12
192.168.0.189,192.168.0.246,28-10-2019 00:16
192.168.0.189,192.168.0.125,28-10-2019 00:20
192.168.0.189,192.168.0.247,28-10-2019 00:24
192.168.0.189,192.168.0.248,28-10-2019 00:28
192.168.0.189,192.168.0.249,28-10-2019 00:32
192.168.0.190,192.168.0.56,28-10-2019 00:36
192.168.0.191,192.168.0.250,28-10-2019 00:40
192.168.0.192,192.168.0.251,28-10-2019 00:44
192.168.0.193,192.168.0.252,28-10-2019 00:48
192.168.0.194,192.168.0.59,28-10-2019 00:52
192.168.0.195,192.168.0.59,28-10-2019 00:56
192.168.0.196,192.168.0.253,28-10-2019 01:00
192.168.0.197,192.168.0.211,28-10-2019 01:04
192.168.0.198,192.168.0.254,28-10-2019 01:08
192.168.0.198,192.168.0.255,28-10-2019 01:12
192.168.0.199,192.168.0.71,28-10-2019 01:16
192.168.0.200,192.168.1.0,28-10-2019 01:20
192.168.0.201,192.168.0.244,28-10-2019 01:24
192.168.0.201,192.168.0.217,28-10-2019 01:28
192.168.0.201,192.168.0.139,28-10-2019 01:32
192.168.0.202,192.168.1.1,28-10-2019 01:36
192.168.0.203,192.168.1.2,28-10-2019 01:40
192.168.0.204,192.168.0.97,28-10-2019 01:44
192.168.0.205,192.168.0.224,28-10-2019 01:48
192.168.0.206,192.168.1.3,28-10-2019 01:52
192.168.0.207,192.168.0.154,28-10-2019 01:56
192.168.0.208,192.168.1.4,28-10-2019 02:00
192.168.0.209,192.168.0.224,28-10-2019 02:04
192.168.0.210,192.168.0.13,28-10-2019 02:08
192.168.0.211,192.168.0.237,28-10-2019 02:12
192.168.0.212,192.168.1.5,28-10-2019 02:16
192.168.0.213,192.168.1.6,28-10-2019 02:20
192.168.0.213,192.168.0.26,28-10-2019 02:24
192.168.0.213,192.168.1.7,28-10-2019 02:28
192.168.0.213,192.168.1.8,28-10-2019 02:32
192.168.0.213,192.168.1.9,28-10-2019 02:36
192.168.0.213,192.168.0.237,28-10-2019 02:40
192.168.0.213,192.168.1.10,28-10-2019 02:44
192.168.0.214,192.168.1.11,28-10-2019 02:48
192.168.0.215,192.168.1.7,28-10-2019 02:52
192.168.0.215,192.168.1.11,28-10-2019 02:56
192.168.0.215,192.168.1.10,28-10-2019 03:00
192.168.0.216,192.168.1.12,28-10-2019 03:04
192.168.0.217,192.168.1.13,28-10-2019 03:08
192.168.0.218,192.168.0.152,28-10-2019 03:12
192.168.0.218,192.168.1.13,28-10-2019 03:16
192.168.0.218,192.168.1.14,28-10-2019 03:20
192.168.0.219,192.168.0.118,28-10-2019 03:24
192.168.0.219,192.168.1.15,28-10-2019 03:28
192.168.0.219,192.168.1.16,28-10-2019 03:32
192.168.0.219,192.168.1.17,28-10-2019 03:36
192.168.0.219,192.168.1.18,28-10-2019 03:40
192.168.0.219,192.168.1.19,28-10-2019 03:44
192.168.0.219,192.168.1.20,28-10-2019 03:48
192.168.0.219,192.168.1.21,28-10-2019 03:52
192.168.0.219,192.168.1.22,28-10-2019 03:56
192.168.0.219,192.168.1.23,28-10-2019 04:00
192.168.0.219,192.168.1.24,28-10-2019 04:04
192.168.0.219,192.168.1.25,28-10-2019 04:08
192.168.0.219,192.168.1.26,28-10-2019 04:12
192.168.0.219,192.168.1.27,28-10-2019 04:16
192.168.0.219,192.168.1.28,28-10-2019 04:20
192.168.0.219,192.168.1.29,28-10-2019 04:24
192.168.0.219,192.168.1.30,28-10-2019 04:28
192.168.0.220,192.168.1.31,28-10-2019 04:32
192.168.0.220,192.168.0.80,28-10-2019 04:36
192.168.0.220,192.168.1.32,28-10-2019 04:40
192.168.0.220,192.168.1.33,28-10-2019 04:44
192.168.0.221,192.168.1.34,28-10-2019 04:48
192.168.0.222,192.168.0.5,28-10-2019 04:52
192.168.0.223,192.168.0.38,28-10-2019 04:56
192.168.0.224,192.168.0.31,28-10-2019 05:00
192.168.0.224,192.168.1.35,28-10-2019 05:04
192.168.0.224,192.168.0.38,28-10-2019 05:08
192.168.0.225,192.168.1.36,28-10-2019 05:12
192.168.0.226,192.168.1.37,28-10-2019 05:16
192.168.0.227,192.168.1.38,28-10-2019 05:20
192.168.0.228,192.168.1.39,28-10-2019 05:24
192.168.0.229,192.168.0.224,28-10-2019 05:28
192.168.0.230,192.168.1.40,28-10-2019 05:32
192.168.0.231,192.168.1.40,28-10-2019 05:36
192.168.0.232,192.168.0.115,28-10-2019 05:40
192.168.0.233,192.168.0.96,28-10-2019 05:44
192.168.0.234,192.168.0.96,28-10-2019 05:48
192.168.0.235,192.168.1.41,28-10-2019 05:52
192.168.0.236,192.168.1.42,28-10-2019 05:56
192.168.0.237,192.168.1.43,28-10-2019 06:00
192.168.0.238,192.168.0.77,28-10-2019 06:04
192.168.0.239,192.168.1.44,28-10-2019 06:08
192.168.0.240,192.168.1.45,28-10-2019 06:12
192.168.0.241,192.168.1.46,28-10-2019 06:16
192.168.0.241,192.168.0.137,28-10-2019 06:20
192.168.0.241,192.168.1.47,28-10-2019 06:24
192.168.0.241,192.168.1.48,28-10-2019 06:28
192.168.0.241,192.168.1.27,28-10-2019 06:32
192.168.0.242,192.168.0.172,28-10-2019 06:36
192.168.0.242,192.168.1.49,28-10-2019 06:40
192.168.0.243,192.168.0.154,28-10-2019 06:44
192.168.0.243,192.168.0.74,28-10-2019 06:48
192.168.0.244,192.168.1.50,28-10-2019 06:52
192.168.0.244,192.168.1.51,28-10-2019 06:56
192.168.0.244,192.168.1.52,28-10-2019 07:00
192.168.0.245,192.168.0.111,28-10-2019 07:04
192.168.0.246,192.168.1.53,28-10-2019 07:08
192.168.0.246,192.168.0.231,28-10-2019 07:12
192.168.0.247,192.168.1.54,28-10-2019 07:16
192.168.0.248,192.168.0.203,28-10-2019 07:20
192.168.0.248,192.168.1.55,28-10-2019 07:24
192.168.0.249,192.168.0.42,28-10-2019 07:28
192.168.0.250,192.168.1.41,28-10-2019 07:32
192.168.0.251,192.168.0.224,28-10-2019 07:36
192.168.0.252,192.168.1.56,28-10-2019 07:40
192.168.0.252,192.168.1.57,28-10-2019 07:44
192.168.0.253,192.168.1.14,28-10-2019 07:48
192.168.0.254,192.168.0.137,28-10-2019 07:52
192.168.0.255,192.168.0.160,28-10-2019 07:56
192.168.1.0,192.168.1.58,28-10-2019 08:00
192.168.1.1,192.168.1.59,28-10-2019 08:04
192.168.1.2,192.168.1.60,28-10-2019 08:08
192.168.1.3,192.168.0.151,28-10-2019 08:12
192.168.1.4,192.168.1.61,28-10-2019 08:16
192.168.1.5,192.168.0.113,28-10-2019 08:20
192.168.1.6,192.168.1.62,28-10-2019 08:24
192.168.1.7,192.168.1.6,28-10-2019 08:28
192.168.1.7,192.168.1.25,28-10-2019 08:32
192.168.1.8,192.168.1.63,28-10-2019 08:36
192.168.1.9,192.168.1.64,28-10-2019 08:40
192.168.1.10,192.168.1.65,28-10-2019 08:44
192.168.1.10,192.168.1.66,28-10-2019 08:48
192.168.1.11,192.168.1.67,28-10-2019 08:52
192.168.1.12,192.168.0.145,28-10-2019 08:56
192.168.1.12,192.168.0.239,28-10-2019 09:00
192.168.1.13,192.168.0.205,28-10-2019 09:04
192.168.1.14,192.168.1.68,28-10-2019 09:08
192.168.1.15,192.168.0.46,28-10-2019 09:12
192.168.1.16,192.168.1.69,28-10-2019 09:16
192.168.1.17,192.168.0.45,28-10-2019 09:20
192.168.1.18,192.168.0.110,28-10-2019 09:24
192.168.1.19,192.168.0.224,28-10-2019 09:28
192.168.1.20,192.168.1.70,28-10-2019 09:32
192.168.1.20,192.168.1.39,28-10-2019 09:36
192.168.1.20,192.168.1.71,28-10-2019 09:40
192.168.1.20,192.168.1.72,28-10-2019 09:44
192.168.1.20,192.168.1.73,28-10-2019 09:48
192.168.1.20,192.168.1.74,28-10-2019 09:52
192.168.1.20,192.168.0.46,28-10-2019 09:56
192.168.1.21,192.168.0.94,28-10-2019 10:00
192.168.1.22,192.168.0.165,28-10-2019 10:04
192.168.1.23,192.168.1.75,28-10-2019 10:08
192.168.1.24,192.168.0.62,28-10-2019 10:12
192.168.1.25,192.168.0.32,28-10-2019 10:16
192.168.1.26,192.168.1.76,28-10-2019 10:20
192.168.1.26,192.168.0.250,28-10-2019 10:24
